locale|ru
SETTINGS_SUPPORT_IOE|Поддержка кораблей Industries of Enceladus

SETTINGS_SUPPORT_IOE_TOOLTIP|Добавляет события, связанные с кораблями из мода Industries of Enceladus. \nПоддерживает как оригинальную SPDX, так и переписанную HEV версию IoE.

SETTINGS_SUPPORT_KITSUMO|Поддержка корабля KTI Kitsumo

SETTINGS_SUPPORT_KITSUMO_TOOLTIP|Добавить события на кораблях из мода K-Tech Kitsumo.

SETTINGS_SUPPORT_COTHON_MKII|Поддержка корабля KTI Cothon MkII

SETTINGS_SUPPORT_COTHON_MKII_TOOLTIP|Добавить события на кораблях из мода K-Tech Cothon MkII.

SETTINGS_SUPPORT_KTI_K225|Поддержка корабля KTI K225-XL

SETTINGS_SUPPORT_KTI_K225_TOOLTIP|Добавить события на кораблях из мода K-Tech K225-XL.

SETTINGS_SUPPORT_KTI_KSERIES|Поддержка кораблей KTI K-Series

SETTINGS_SUPPORT_KTI_KSERIES_TOOLTIP|Добавить события на кораблях из мода K-Tech K-Series.

SETTINGS_SUPPORT_KTI_OCP|Поддержка корабля KTI OCP

SETTINGS_SUPPORT_KTI_OCP_TOOLTIP|Добавить события на кораблях из мода K-Tech OCP.

SETTINGS_SUPPORT_DRONE_OCP|Поддержка корабля Drone OCP

SETTINGS_SUPPORT_DRONE_OCP_TOOLTIP|Добавить события на кораблях из мода Drone OCP.

SETTINGS_SUPPORT_HEAVY_COTHON|Поддержка корабля Heavy Cothon

SETTINGS_SUPPORT_HEAVY_COTHON_TOOLTIP|Добавление событий, связанных с кораблями из мода Heavy Cothon.

SETTINGS_SUPPORT_IOE_CONTAINERS|Добавление запросов на контейнеры IoE

SETTINGS_SUPPORT_IOE_CONTAINERS_TOOLTIP|Добавление контейнера Dyna-Cargo из мода Industries of Enceladus к запросам на грузовые контейнеры.

SETTINGS_SUPPORT_MOD_PIRATE_TRADES|Добавление модифицированных кораблей в пиратские предложения

SETTINGS_SUPPORT_MOD_PIRATE_TRADES_TOOLTIP|Заброшенные корабли, добавленные с помощью переключателей модов, будут добавлены в пул пиратских сделок.

SETTINGS_DISABLE_DYNAMIC_MOD_LOADING|Отключить динамическую обработку модов

SETTINGS_DISABLE_DYNAMIC_MOD_LOADING_TOOLTIP|Основной переключатель для отключения динамической обработки модов и использования следующих ручных переключателей. \nЭто предназначено только для использования, если совместимость с модом не работает или используется версия мода, в которой имя zip-файла отличается от имени, которое ищет этот мод. \nПроверьте файл DDSettings.cfg в каталоге сохранения на наличие имени, которое ищут динамические настройки.

SETTINGS_FORCE_DRONE_OCP|Принудительно включить DroneOCP

SETTINGS_FORCE_DRONE_OCP_TOOLTIP|Принудительно включает совместимость с DroneOCP.

SETTINGS_FORCE_HEAVY_COTHON|Принудительно включить HeavyCothon

SETTINGS_FORCE_HEAVY_COTHON_TOOLTIP|Принудительно запускает совместимость с HeavyCothon.

SETTINGS_FORCE_IOE|Принудительно включить IndustriesOfEnceladus

SETTINGS_FORCE_IOE_TOOLTIP|Принудительно запускает совместимость с Industries of Enceladus.

SETTINGS_FORCE_KTI_COTHON_MKII|Принудительно включить KTI-CothonMkII

SETTINGS_FORCE_KTI_COTHON_MKII_TOOLTIP|Принудительно запускает совместимость с K-Tech Cothon MkII.

SETTINGS_FORCE_KTI_K225|Принудительно включить KTI-K225

SETTINGS_FORCE_KTI_K225_TOOLTIP|Принудительно запускает совместимость с K-Tech K225-XL.

SETTINGS_FORCE_KTI_KITSUMO|Принудительно включить KTI-Kitsumo

SETTINGS_FORCE_KTI_KITSUMO_TOOLTIP|Принудительно запускает совместимость с K-Tech Kitsumo.

SETTINGS_FORCE_KTI_KSERIES|Принудительно включить KTI-KSeries

SETTINGS_FORCE_KTI_KSERIES_TOOLTIP|Принудительно запускает функцию совместимости K-Tech K-Series.

SETTINGS_FORCE_KTI_OCP|Принудительно включить KTI-OCP

SETTINGS_FORCE_KTI_OCP_TOOLTIP|Принудительно запускает функцию совместимости K-Tech OCP.

DD_MAIN_TOGGLES|Главное

DD_EVENT_TOGGLES|События

DD_AGENDA_TOGGLES|Повестки дня

DD_MOD_TOGGLES|Моды

DD_MOD_DEBUG|DEBUG

DD_DEBUG_WARNING|ВНИМАНИЕ! НЕПОДДЕРЖИВАЕМЫЕ НАСТРОЙКИ

DD_DEBUG_WARNING_TOOLTIP|ВНИМАНИЕ: С этими настройками следует обращаться осторожно, так как они не поддерживаются напрямую и могут привести к сбою сохранения при изменении.\n\nЕсли вы не уверены, оставьте опцию «Отключить динамическую обработку модов» отключенной.

DDCREDITS|Credit: hev; WT; Za'Krin Yoran

SYSTEM_SCOOP_E|Прототип Hunk Nakamura

SYSTEM_SCOOP_E_DESC|Ранний прототип NT Mining Companion Накамуры, этот проект изначально использовал стандартный ковш вместо дробилки, как на современных компаньонах. Несмотря на свою надёжность, они были очень не сбалансированы, что приводило к потере драгоценного рабочего тела. Их производство было прекращено по мере того, как измельчители становились всё более распространёнными, но их всё ещё можно найти на вторичном рынке для тех, кто ищет более дешёвую альтернативу.

SYSTEM_SCOOP_E_SPECS|Объём грузового отсека: 50 м^3\nКласс автономности: C2\nСтандартная модификация: Ковш\nЭнергопотребление (номинальное): 10 МВт\nМасса пустого аппарата: 2000 кг\nМасса люльки: 500 кг\nЗапас рабочего тела: 4000 кг\nПроизводитель: Nakamura

SYSTEM_SCOOP_EP|Прототип Hunk Nakamura P-type

SYSTEM_SCOOP_EP_DESC|Ранний прототип NT Mining Companion Накамуры, этот проект изначально использовал стандартный ковш вместо дробилки, как на современных компаньонах. Несмотря на свою надёжность, они были очень не сбалансированы, что приводило к потере драгоценного рабочего тела. Они были сняты с производства, поскольку измельчители стали более распространенными, но они всё ещё существуют на вторичном рынке для тех, кто ищет более дешёвую альтернативу.\n\nОдна проектная группа, которая была настроена найти решение проблемы балансировки «Hunk», предложила установить на нём установку для переработки минералов, что не только частично решило проблему балансировки, но и позволило спутнику восстановить часть рабочего тела для более длительного полёта.

SYSTEM_SCOOP_EP_SPECS|Объём грузового отсека: 50 м^3\nКласс автономности: C2\nСтандартная модификация: Ковш, установка для переработки руды\nЭнергопотребление (номинальное): 10 МВт\nМасса пустого аппарата: 2000 кг\nМасса люльки: 500 кг\nЗапас рабочего тела: 4000 кг\nПроизводитель: Nakamura-Titan

SYSTEM_SCOOP_L|Компаньон NCT Blaze

SYSTEM_SCOOP_L_DESC|Blaze был довольно рискованным проектом Coherent Light, направленным на повышение общей эффективности компаньона NT. Замена штатного микроволнового излучателя на лазер CL-150, обеспечила аппарату, получившему прозвище «Blaze», практически непревзойдённую производительность, однако лазер оказался слишком мощным для встроенной турбины. Частые перебои в электроснабжении приводили к серьёзным проблемам с бортовым компьютером и ряду непреднамеренных последствий для автономных систем.

SYSTEM_SCOOP_L_SPECS|Объём грузового отсека: 50 м³\nКласс автономности: C2\nСтандартная модификация: Горнодобывающий лазер\nЭнергопотребление (номинальное): 10 МВт\nМасса пустого аппарата: 2000 кг\nМасса люльки: 500 кг\nЗапас рабочего тела: 4000 кг\nПроизводитель: Nakamura-Coherent Light-Titan

SYSTEM_SCOOP_LP|Компаньон NCT Blaze P-Type

SYSTEM_SCOOP_LP_DESC|Blaze был довольно рискованным проектом Coherent Light, направленным на повышение общей эффективности компаньона NT. Замена штатного микроволнового излучателя на лазер CL-150, обеспечила аппарату, получившему прозвище «Blaze», практически непревзойденную производительность, однако лазер оказался слишком мощным для встроенной турбины. Частые перебои в электроснабжении приводили к серьёзным проблемам с бортовым компьютером и ряду непреднамеренных последствий для автономных систем.\n\nОдна из модификаций «Blaze» — со встроенный блок переработки сырья — должна была ещё больше повысить эффективность, однако из-за ошибки в программировании он оставался включённым во время стандартных операций, что лишь усугубляло проблемы с перебоями в электроснабжении.

SYSTEM_SCOOP_LP_SPECS|Объём грузового отсека: 50 м^3\nКласс автономности: C2\nСтандартная модификация: Горнодобывающий лазер, установка для переработки руды\nЭнергопотребление (номинальное): 10 МВт\nМасса пустого аппарата: 2000 кг\nМасса люльки: 500 кг\nЗапас рабочего тела: 4000 кг\nПроизводитель: Nakamura-Coherent Light-Titan

SYSTEM_SCOOP_M|Компаньон-Добытчик N-A

SYSTEM_SCOOP_M_DESC|Менее известный проект команды по разработке компаньона-добытчика был реализован совместно с Антоновым для создания ограниченной серии стандартных компаньонов NT. Этот вариант был оснащён электромагнитной пушкой и изначально предназначался для ведения боя из засад, что во многом отражало военные методы начала и середины XXI века. После того, как Nakamura демилитаризовала свои операции в кольцах, их постепенно перепрофилировали в добывающие дроны, и они до сих пор используются некоторыми экипажами.

SYSTEM_SCOOP_M_SPECS|Объём грузового отсека: 50 м³\nКласс автономности: C2\nСтандартная модификация: электромагнитная пушка\nЭнергопотребление (номинальное): 10 МВт\nМасса пустого аппарата: 2000 кг\nМасса люльки: 500 кг\nЗапас рабочего тела: 4000 кг\nПроизводитель: Nakamura-Antonoff

SYSTEM_SCOOP_MP|Компаньон-Добытчик N-A P-Type 

SYSTEM_SCOOP_MP_DESC|Менее известный проект команды по разработке компаньона-добытчика был реализован совместно с Антоновым для создания ограниченной серии стандартных компаньонов NT. Этот вариант был оснащен электромагнитной пушкой и изначально предназначался для ведения боя из засад, что во многом отражало военные методы начала и середины XXI века. После того, как Nakamura демилитаризовала свои операции в кольцах, их постепенно перепрофилировали в добывающие дроны, и они до сих пор используются некоторыми экипажами.\n\nСторонняя модификация добавила к линейке установку для переработки минералов. Эти дроны не получили широкого распространения, но стали популярны среди пиратов как самоподдерживающиеся засадные дроны.

SYSTEM_SCOOP_MP_SPECS|Объём грузового отсека: 50 м^3\nКласс автономности: C2\nСтандартная модификация: электромагнитная пушка, установка переработки руды\nЭнергопотребление (номинальное): 10 МВт\nМасса пустого аппарата: 2000 кг\nМасса люльки: 500 кг\nЗапас рабочего тела: 4000 кг\nПроизводитель: Nakamura-Antonoff

SYSTEM_SCOOP_P|Компаньон-Добытчик NT P-Type

SYSTEM_SCOOP_P_DESC|В начале 23 века совместное предприятие Nakamura Dynamics и Titan Heavy Industries производило автономные дроны для добычи полезных ископаемых, пытаясь автоматизировать выработку колец. Рои дронов, пусть и показавшие себя хорошо в начале, быстро развили в своих нейроных сетях личностные особенности, со временем снизившие производительность - дроны увлекались социальным поведением и попросту забывали про добычу. Проект автономной добычи был в конечном итоге отменен, а дроны были переоборудованы в дронов-компаньонов и поступили в продажу независимым добытчикам.\n\nБ/у оборудование Titan было модифицировано с добавлением установки для переработки полезных ископаемых и соответствующего хранилища. 15-тонный трюм с изменяемой геометрией обеспечивает хранилище для использования компаньоном. Многие бригады предпочитают эту модель стандартному компаньону NT из-за меньшего времени обслуживания и возможности возвращения на корабль-носитель для перегрузки полезных ископаемых.

SYSTEM_SCOOP_P_SPECS|Объём грузового отсека: 50 м^3\nСтандартная модификация: установка переработки руды\nКласс автономности: C2\nЭнергопотребление (номинальное): 10 МВт\nМасса пустого аппарата: 2000 кг\nМасса люльки: 500 кг\nЗапас рабочего тела: 4000 кг\nПроизводитель: Nakamura-Titan

SYSTEM_SCOOP_MPU_MANUAL|Активируется отключением питания люльки и отдалением.\nАвтоматически собирает руду.\nВиды руды для сбора выбираются на вкладке «Геолог».\nУстановка переработки уплотняет куски руды и пополняет рабочее тело.\nСтыковка с и отключеными параметрами на вкладке «Геолог» для перемещения переработанной руды на корабль.\nВозвращается на станцию ​​при заполнении или низком уровне рабочего тела.\nИзмельчители синхронизируются с вашим кораблём при стыковке.\nПустая люлька может использоваться для подбора дронов и спасательных капсул.

DD_TAB_INFO|О проекте

DERELICTDELIGHTS_GITHUB|GitHub

DERELICTDELIGHTS_NEXUSMODS|Nexus Mods

DERELICTDELIGHTS_MOD_DESCRIPTION|Abandoned Technologies — это модификация, добавляющая несколько новых встреч с NPC, варианты снаряжения, сюжетные линии, новые планы команды и многое другое. \n\nРанее Derelict Delights

DDSETTINGS_SAVEHINT|ВНИМАНИЕ! Сохранение этих настроек приведёт к перезапуску игры. Будьте осторожны, изменяя настройки во время игры.

DDSETTINGS_CANCELHINT|Закрывает меню без изменения настроек. Не приводит к перезапуску игры.

DERELICTDELIGHTS_SUGGEST_TOOLTIP|Позволяет предлагать новые стандартные комплектации кораблей. Мы приветствуем любые варианты, независимо от их повторяемости.

SETTINGS_ADD_KESSLER_SYNDROME|Добавляет Синдром Кесслера

SETTINGS_ADD_KESSLER_SYNDROME_TOOLTIP|Добавляет редкие, но очень опасные обломки, проносящиеся через кольца, иногда вместе с идиотом, который это вызвал...

SETTINGS_ROGUE_MONOS|Добавляет несанкционированные моногрузовые контейнеры

SETTINGS_ROGUE_MONOS_TOOLTIP|Добавляет более редкий вариант несанкционированного грузового контейнера, используя вместо него моноконтейнер, что представляет собой значительно больший риск с более низкими минимальными и более высокими пиковыми значениями стоимости.

DIALOG_PIRATE_BUSINESS_ORE_MONO|У нас есть руда на продажу. Высококачественная, обработанная, ждет своей очереди в аккуратном моноконтейнере. Вам нужно только взять с собой поддон и забрать ее. 200 тысяч, и она ваша.
